Date,Open,High,Low,Close
2012-12-10,15587.25,15700.75,15562.05,15679
2012-12-11,15675.25,15890.6,15663.55,15795
2012-12-12,15802.25,15875.05,15721.85,15778
2012-12-13,15744.75,15744.75,15333.55,15355
2012-12-14,15282.9,15414.15,15201.45,15368
2012-12-17,15308.15,15374.4,15245.15,15283
2012-12-18,15304.2,15414.55,15181.6,15334
2012-12-19,15316.85,15396.75,15220.3,15264
2012-12-20,15255.85,15321.8,15183.45,15282
2012-12-21,15231.15,15276.35,15088.05,15193
2012-12-24,15264.95,15309.75,15208.45,15222
2012-12-26,15221.8,15325.6,15165.5,15305
2012-12-27,15370.15,15381.25,15142.9,15178
2012-12-28,15152.55,15258.7,15152.55,15237
2012-12-31,15200.85,15252.1,15149.5,15175
2013-01-01,15194.55,15302.9,15194.55,15259
2013-01-02,15283.1,15357.25,15197.15,15225
2013-01-03,15253.25,15294.5,15140.55,15172
2013-01-04,15216.4,15218.65,15047.45,15134
2013-01-07,15182.55,15192.6,14938.05,14966
2013-01-08,14956.95,15163.65,14954.85,15148
2013-01-09,15124.35,15166.75,14891.25,14918
2013-01-10,14938.15,14993.3,14874.85,14947
2013-01-11,14914.35,14935.15,14527.1,14582
2013-01-14,14597.1,14762.6,14583.5,14737
2013-01-15,14745.6,14917.75,14627.35,14852
2013-01-16,14880.4,14887.65,14755.8,14815
2013-01-17,14778.65,14870.3,14755,14806
2013-01-18,14853.35,14900.55,14763.5,14818
2013-01-21,14860.85,15009.65,14785.55,14992
2013-01-22,14989.05,14992.05,14698.5,14802
2013-01-23,14654.75,14822.75,14635.1,14785
2013-01-24,14785.55,14968.45,14785.55,14910
2013-01-25,14952.4,15070.6,14916.1,15056
2013-01-28,15061.05,15092.45,15008.2,15082
2013-01-29,15023.5,15201.25,15013.35,15166
2013-01-30,15161.8,15256.3,15037.85,15176
2013-01-31,15194.35,15311.5,15110.8,15265
2013-02-01,15262.35,15316.25,15168,15302
2013-02-04,15309.25,15363.95,15210.4,15257
2013-02-05,15181.25,15193.95,15053.95,15069
2013-02-06,15100.8,15168.45,15009.7,15133
2013-02-07,15070.35,15158.55,15048.65,15119
2013-02-08,15056.05,15168.5,14940.65,14989
2013-02-11,15037.4,15059.3,14842.55,14950
2013-02-12,14915.55,15022.25,14915.55,14997
2013-02-13,15024.7,15088.95,14900.6,14916
2013-02-14,14907.55,15000.35,14872.85,14977
2013-02-15,14936.6,15028.95,14933.65,14978
2013-02-18,14975.6,15055.75,14959.2,15036
2013-02-19,15037.05,15173.85,15010.9,15150
2013-02-20,15189.85,15254.55,15055.8,15089
2013-02-21,15068.9,15086.5,14848.25,14882
2013-02-22,14859.25,14908.25,14635.65,14665
2013-02-25,14694.15,14724.25,14555.9,14634
2013-02-26,14643.65,14806.2,14481.8,14545
2013-02-27,14590.9,14759.4,14590.9,14669
2013-02-28,14711,14953.3,14546.7,14594
2013-03-01,14620.9,14759.95,14520.4,14631
2013-03-04,14618.4,14625.35,14374.65,14580
2013-03-05,14624.15,14773.2,14573,14703
2013-03-06,14796.95,14796.95,14493.4,14516
2013-03-07,14481.45,14707.6,14447.7,14645
2013-03-08,14712.8,14930.55,14671.75,14891
2013-03-11,14900.8,14995.95,14881.9,14915
2013-03-12,14902.2,15023.25,14869.35,14981
2013-03-13,14954.75,15112.4,14954.75,15052
2013-03-14,15048.7,15176.15,14980.7,15117
2013-03-15,15131.45,15196.35,15101.8,15127
2013-03-18,15077,15270.7,15077,15245
2013-03-19,15342.75,15342.75,15139.2,15200
2013-03-20,15163.85,15292.55,15163.85,15257
2013-03-21,15259.75,15304.6,15120.95,15145
2013-03-22,15188.7,15202.5,15097.4,15128
2013-03-25,15165.15,15241.8,15028.45,15054
2013-03-26,15078.05,15264.25,15052.7,15240
2013-03-28,15269.35,15355.4,15147.75,15321
2013-04-01,15310.3,15354.65,15254.9,15323
2013-04-02,15297.15,15363.45,15210.25,15321
2013-04-03,15282.05,15335.95,15201.8,15289
2013-04-04,15239.2,15281.9,15018.45,15051
2013-04-05,15042.1,15042.1,14781.1,14826
2013-04-08,14852.35,14977.95,14704.55,14945
2013-04-09,14980.8,15060.1,14662.5,14717
2013-04-10,14839.35,14839.35,14481.65,14634
2013-04-11,14752.2,14785.2,14611.9,14697
2013-04-12,14732.85,15053.45,14716.9,14977
2013-04-15,14968.5,15186.1,14868,15162
2013-04-16,15140.3,15473.7,15099.4,15455
2013-04-17,15435.05,15707.25,15435.05,15649
2013-04-18,15593.45,15777.55,15571.45,15710
2013-04-22,15680.2,15805.55,15673.55,15788
